OBJECTID,old_dam_name,osm_name,distance_m,Latitude,Longitude
10289,Low-Head Dam (16236),Dam Number 12,4.3,37.67729603,-83.94807305
10293,Low-Head Dam (16538),Stall Dam,2.6,40.95553961,-117.44627137
10309,Low-Head Dam (15422),Browns Dam,40.0,39.9283259,-77.03310518
10312,Low-Head Dam (15426),Lake Afton Dam,2.2,40.24312926,-74.84292011
10328,Low-Head Dam (15842),Manchester Milldam,28.1,42.48186959,-91.45846483
10347,Low-Head Dam (16265),C S Dam,1.5,41.00209954,-117.52599911
10373,Low-Head Dam (15852),Ozark Beach Dam,5.9,36.65933,-93.124846
10420,Low-Head Dam (15526),Kinnikinick Dam,36.8,34.89544336,-111.29716811
10444,Low-Head Dam (16304),Kentucky River Lock & Dam 6,8.9,37.92676682,-84.82166307
10459,Low-Head Dam (16346),Lyndon B Johnson State Park Dam,4.0,30.23979,-98.6320899999999
10544,Low-Head Dam (14503),Culbertson Dam,9.7,40.36185821,-101.1026839
10550,Low-Head Dam (14517),Nassau Lake Dam,4.6,42.53079117,-73.6021245
10654,Low-Head Dam (23960),Rhodhiss Dam,23.2,35.773,-81.438
10682,Low-Head Dam (16010),Tunnel Dam,7.2,37.937182,-92.85101
10693,Low-Head Dam (16379),Spiers Dam,7.8,36.93078,-77.48765726
10707,Low-Head Dam (16630),Dodson Dam,37.1,48.4122587,-108.3099244
10717,Low-Head Dam (15681),Mill Dam,7.6,42.51223666,-76.35553095
10724,Low-Head Dam (15694),Old Stone Fort Dam,3.5,35.48661,-86.103029
10815,Low-Head Dam (15264),Soden Dam,1.3,38.38616155,-96.18205406
10826,Low-Head Dam (16075),Montgomery Worsted Mills Dam,8.3,41.53096975,-74.22721785
10880,Low-Head Dam (15734),Ithaca Falls Dam,20.2,42.45275986,-76.49106732
10908,Low-Head Dam (15325),Kerite Dam,1.6,41.39606,-73.067
11070,Low-Head Dam (16507),Mountain View Lake Dam,4.2,44.70390229,-74.13926052
11082,Low-Head Dam (20313),Cooleemee Dam,43.2,35.81012,-80.5631
11113,Low-Head Dam (17592),Sweek Dam,0.7,43.60155889,-119.0485157
11187,Low-Head Dam (17707),Hollins Mill Dam,2.2,37.42456708,-79.15975278
11243,Low-Head Dam (17688),Gose Mill Dam,2.4,37.12505058,-81.35647034
11246,Low-Head Dam (17696),Grand Ledge Dam,10.9,42.763145,-84.762658
11247,Low-Head Dam (17694),Wagar Dam,8.0,42.965811,-84.913818
11248,Low-Head Dam (17697),East Sanitary Dam,6.2,42.514722,-84.653123
11249,Low-Head Dam (17699),State Street Dam,1.9,42.508964,-84.655061
11250,Low-Head Dam (17700),Smithville Dam,2.5,42.499684,-84.629199
11263,Low-Head Dam (15133),Diamond Island Dam,40.0,43.97833456,-75.88608628
11310,Low-Head Dam (17515),Mexican Dam,27.1,39.1194655,-119.70710734
11336,Low-Head Dam (17518),Big Quilcene Diversion,3.0,47.784632,-122.980006
11400,Low-Head Dam (18181),Concord Mills Dam;Black Dam,3.9,39.88749444,-75.510425
11413,Low-Head Dam (18209),Camp Innabah Dam,19.8,40.15849802,-75.66132548
11420,Low-Head Dam (20474),Fargo 4th Street South Dam,0.8,46.87113,-96.7819
11423,Low-Head Dam (20476),Fargo Dam 2,7.5,46.83176,-96.7914
11447,Low-Head Dam (18442),Batavia Dam,12.5,41.85519,-88.30854461
11455,Low-Head Dam (18455),Phoenixville Dam,1.8,40.13590723,-75.5169941
11477,Low-Head Dam (18228),Caro Dam,11.9,43.460144,-83.40912
11485,Low-Head Dam (18236),Corte Madera Dam,26.3,32.77615973,-116.5781397
11521,Low-Head Dam (20588),Skunk Creek Dam,26.8,47.27729,-92.20439
11526,Low-Head Dam (18479),Club Dam,4.0,40.26316384,-75.41644261
11605,Low-Head Dam (20624),Elk River Dam,3.8,45.30409249,-93.58591034
11671,Low-Head Dam (20670),Verree Road Dam,3.3,40.08734087,-75.06093517
11676,Low-Head Dam (18518),Fuzzys Dam,7.5,36.97753847,-79.50067921
